date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2015/08/25,7908,s,-0.9999999999999938,-1.9999999999999876,2.4657534246575343,2.5575708171999185,0,0,0,0,0,-0.01990326136905445,-3.5616438356164384,-4.931506849315069
2016/09/12,7908,s,-1.0000000000000009,-2.0000000000000018,2.6016260162601625,2.4445945945945944,0,60,0,1,1,-0.01281404428684585,3.089430894308943,4.878048780487805
2017/07/24,7908,s,3.142857142857143,6.285714285714286,6.095238095238095,11.395647389656437,8,50,8,1,1,-0.006272714834761713,3.238095238095238,5.142857142857143
2017/10/31,7908,l,-1.0,-2.0,2.6666666666666665,4.743015422494272,3,0,0,0,0,-0.005196334489840952,0.38095238095238093,1.5238095238095237
2018/02/06,7908,s,-0.9999999999999993,-1.9999999999999987,2.6315789473684212,2.951584558042525,1,59,0,1,1,-0.01829990900305447,1.7105263157894737,2.368421052631579
2018/03/14,7908,s,0.6740947075208926,1.3481894150417852,2.1727019498607243,3.519268910673107,10,30,6,0,1,-0.00924567896176715,0.2785515320334262,0.38997214484679665
2018/10/11,7908,s,0.5396825396825361,1.0793650793650722,2.2222222222222223,1.9703351034609047,7,2,1,0,1,-0.01968302614987475,0.31746031746031744,-1.746031746031746
2019/11/20,7908,l,-0.15126050420168163,-0.30252100840336327,3.5294117647058822,5.282665175781893,5,1,2,0,1,-0.004986980871648346,-0.3361344537815126,0.5042016806722689
2020/06/12,7908,s,-1.0000000000000016,-2.000000000000003,2.4657534246575343,1.8599686921872776,17,42,17,0,0,-0.017389381259480897,-0.547945205479452,0.273972602739726
2021/09/21,7908,s,-1.0000000000000009,-2.0000000000000018,2.0370370370370368,1.0062626048190213,6,26,7,0,1,-0.0156983349207624,0.7407407407407407,0.0
2015/07/09,4970,s,-0.01749271137025974,-0.03498542274051948,4.373177842565598,2.729511079845234,0,0,0,0,0,-0.015952261769897544,-1.0495626822157436,-2.1574344023323615
2015/08/25,4970,s,-0.999999999999998,-1.999999999999996,3.2537960954446854,3.2430668841761827,1,0,0,0,0,-0.01990326136905445,-3.2537960954446854,-4.642082429501085
2015/11/18,4970,l,-1.000000000000002,-2.000000000000004,8.466257668711657,93.26188620420889,0,0,0,0,0,0.007194369207712618,0.0,12.065439672801636
2016/05/16,4970,l,-1.0000000000000018,-2.0000000000000036,3.308823529411765,6.194539249146757,10,2,4,0,1,-0.0012362747003603338,-0.22058823529411764,-1.5073529411764706
2016/06/20,4970,l,-1.0,-2.0,2.25,1.3594771241830066,1,59,0,0,1,0.015346488320899278,-0.875,-2.875
2016/06/22,4970,l,-1.0000000000000024,-2.000000000000005,2.447916666666667,22.099494097807757,7,25,0,0,0,-0.004533335477339266,2.8645833333333335,5.052083333333334
2017/02/13,4970,s,-0.2065217391304323,-0.4130434782608646,3.2608695652173916,5.3059701492537314,13,44,12,1,1,0.0069585885288815505,0.9782608695652175,1.1413043478260871
2017/03/29,4970,s,0.10843373493975629,0.21686746987951258,2.108433734939759,0.9795748228428511,12,48,11,0,1,0.000724370888309917,0.4216867469879518,0.48192771084337344
2017/04/18,4970,l,-1.0,-2.0,2.109090909090909,0.8790016277807922,2,57,2,0,0,0.00774273968333887,0.14545454545454545,-1.8909090909090909
2017/04/24,4970,l,-0.9999999999999971,-1.9999999999999942,2.305295950155763,25.126582278481013,3,2,0,0,0,0.014480082703435739,2.4922118380062304,6.355140186915888
2017/05/15,4970,l,-0.9999999999999976,-1.9999999999999951,2.210242587601078,3.0227894257064722,3,3,1,0,1,-0.006560081271782816,-0.053908355795148244,1.1320754716981132
2018/02/06,4970,s,2.0931545518701475,4.186309103740295,3.5285815102328866,2.8355814368055143,17,38,17,0,1,-0.01829990900305447,0.4234297812279464,0.4516584333098095
2018/02/07,4970,l,-0.9999999999999994,-1.999999999999999,2.7498485766202303,1.4829917373108703,10,11,0,0,1,0.018095588017532395,-0.4845548152634767,-4.118715929739552
2018/08/13,4970,l,1.0584707646176899,2.1169415292353797,2.098950524737631,3.7939420738447933,7,38,2,0,1,-0.008095315829883203,-0.1199400299850075,0.35982008995502246
2018/10/11,4970,s,0.13507625272331253,0.27015250544662506,2.0915032679738563,1.7214890683474493,12,38,2,0,1,-0.01968302614987475,0.15250544662309368,-0.10893246187363835
2019/10/24,4970,l,-0.10231023102310306,-0.20462046204620613,2.31023102310231,2.4160797820387603,3,0,2,0,1,0.0044224671585625375,-0.8250825082508251,0.957095709570957
2021/11/08,4970,s,-1.0,-2.0,3.2733224222585924,4.430432955023119,3,42,2,0,0,0.004183499895480078,-0.5237315875613748,1.9967266775777415
2015/08/25,4582,s,-1.000000000000001,-2.000000000000002,2.5414364640883975,2.3351734578956114,1,0,0,0,0,-0.01990326136905445,-2.0994475138121547,-5.74585635359116
2015/12/07,4582,l,-0.9999999999999982,-1.9999999999999964,2.1705426356589146,2.9451576281547465,15,34,7,0,0,0.010557061762220776,0.0,-0.9302325581395349
