date,code,position,pl_lc,pl_atr,x1,x2,x3,x4,x5,x6,x7,x8
2016/11/10,6255,l,0.3,0.3389830508474576,0.6779661016949153,0.12456897722027639,0,23,0,1,1,0.01915633841469791
2016/12/21,6255,l,-1.0,-1.4953271028037385,0.9345794392523366,1.0434299128930624,1,9,0,0,0,0.002705887241190221
2017/01/04,6255,l,-0.8571428571428571,-0.9375,0.625,0.8501866399242297,5,11,2,0,0,0.009642483639272512
2017/01/12,6255,s,1.2,1.702127659574468,0.5673758865248227,1.5890168290522586,1,56,0,0,1,-0.0033297753072993016
2017/04/11,6255,l,-1.0,-2.682926829268293,1.707317073170732,3.9985076715011894,13,4,0,0,0,-0.004273354229306802
2017/05/17,6255,l,-1.0,-1.4084507042253522,1.1267605633802817,0.7435833952298424,4,22,3,0,1,-0.005674750073042872
2017/07/05,6255,l,1.8,1.9780219780219783,1.098901098901099,5.292245311708059,8,2,6,0,1,-0.0008626047368381063
2017/07/06,6255,l,-0.3181818181818182,-1.3592233009708736,1.7475728155339805,7.735799553981372,1,0,0,0,0,-0.0009934452531991042
2017/07/12,6255,l,-0.20588235294117646,-1.1023622047244095,5.039370078740157,12.895432924268054,4,0,4,0,1,-0.002884803926423061
2017/07/25,6255,l,0.5625,0.9836065573770492,0.6557377049180327,2.7795131081590236,2,1,1,0,0,0.00019473689743588357
2017/08/09,6255,l,-1.0,-1.3934426229508197,0.6557377049180328,2.0111262175457956,1,7,0,0,0,-0.0033531689572069267
2017/08/14,6255,s,-1.0,-1.3636363636363638,0.4545454545454546,0.2793472018968935,3,39,0,0,0,-0.009334132127438062
2017/08/15,6255,l,2.857142857142857,1.509433962264151,0.37735849056603776,0.301492447674244,0,22,0,0,1,0.007794401420886543
2017/08/16,6255,l,0.8888888888888888,0.6015037593984962,0.45112781954887216,0.5786498170934486,1,21,1,0,1,-0.0001397234185056599
2017/08/30,6255,l,-1.0,-0.4901960784313726,0.4901960784313726,1.0067931696640582,1,32,0,0,1,0.006116446439131225
2017/09/11,6255,l,2.2,1.2021857923497268,0.5464480874316939,1.3351424694708276,0,44,0,0,1,0.008641844644982402
2017/09/26,6255,s,-1.0,-1.6883116883116882,0.5194805194805194,5.444649016758909,0,60,0,0,1,-0.0023689084685537863
2017/09/27,6255,s,0.6956521739130435,0.9609609609609611,0.42042042042042044,1.5140205054731055,0,60,0,0,1,-0.002969475445138436
2017/09/28,6255,l,-1.0,-0.3519061583577712,0.3519061583577712,0.7450651509114606,0,4,0,0,1,0.006492311411873053
2017/10/12,6255,l,-1.0,-0.5405405405405406,0.43243243243243246,2.5395615110743526,1,12,0,0,1,0.00368320509241056
2017/10/13,6255,s,0.6206896551724138,1.7777777777777777,2.3209876543209877,1.3165397305416695,7,53,0,1,1,0.00023574640940077893
2017/10/16,6255,s,0.7391304347826086,0.821256038647343,0.33816425120772947,0.29009567718334045,1,41,0,0,0,0.003124057559425169
2017/10/26,6255,l,1.7777777777777777,1.1347517730496455,0.5673758865248227,0.2490987804854923,1,46,1,0,0,-0.00039939892074756486
2017/10/27,6255,l,0.16666666666666666,0.14981273408239698,0.599250936329588,0.5778049526138795,5,29,1,0,0,0.00752031529297912
2017/10/31,6255,s,1.0,0.7547169811320755,0.37735849056603776,0.19517940327987554,1,43,0,0,1,-0.005196334489840952
2017/11/10,6255,l,-0.5,-0.5982905982905983,0.4273504273504274,0.2753457109508148,1,25,0,0,0,-0.01259406411642801
2017/12/08,6255,l,0.14285714285714285,0.12738853503184713,0.6369426751592357,1.3679022825881908,2,51,0,0,1,0.005774727831725795
2018/01/11,6255,l,0.48484848484848486,2.3703703703703707,4.0,12.09740548393742,1,3,1,0,0,-0.005540982503930575
2018/01/24,6255,s,0.14285714285714285,0.18604651162790697,0.6511627906976745,1.1808547602501738,0,59,0,0,1,-0.004050712667596626
2018/02/05,6255,s,0.29411764705882354,0.3533568904593639,0.5653710247349824,0.3715087836758295,2,47,0,0,0,-0.015182691122011873
2018/02/06,6255,s,-0.6451612903225806,-1.3888888888888888,1.5277777777777777,0.7409732162677302,8,42,1,0,1,-0.01829990900305447
2018/02/07,6255,l,-0.25925925925925924,-0.46357615894039733,0.9933774834437087,0.5297491254672932,2,17,0,0,0,0.018095588017532395
2018/02/09,6255,s,-0.09523809523809523,-0.13157894736842105,1.3157894736842106,0.45480946605889105,7,40,1,0,1,-0.017501368150908598
2018/02/15,6255,l,2.5714285714285716,1.2040133779264215,0.4682274247491639,0.5407253794564066,0,24,0,0,1,0.01086925178345453
2018/02/22,6255,l,-0.21052631578947367,-0.274914089347079,0.6872852233676976,1.192255007219281,2,7,1,0,0,-0.008235017279745275
2018/03/02,6255,s,0.4166666666666667,0.3802281368821293,0.45627376425855515,0.43358327092792887,4,46,2,0,0,-0.01769847549790635
2018/03/06,6255,l,-0.5454545454545454,-0.4428044280442804,0.5904059040590406,0.7653846562138407,5,27,0,1,1,0.01654350874841808
2018/03/09,6255,l,0.75,0.4838709677419355,0.48387096774193544,0.6622272911224752,5,29,0,0,1,0.010583548256815026
