,date,code,position_x,pl_lc_1day,pl_atr_1day,x1_x,x2_x,x3_x,x4_x,x5_x,x6_x,x7_x,x8_x,position_y,pl_lc_3day,pl_atr_3day,x1_y,x2_y,x3_y,x4_y,x5_y,x6_y,x7_y,x8_y,diff
3799,2018/11/13,6083,s,-0.2,-0.2666666666666666,1.3333333333333333,1.2296037296037297,5,2,0,0,0,-0.0172717589856792,s,-0.2666666666666666,-0.3555555555555555,1.3333333333333333,1.2296037296037297,5.0,2.0,0.0,0.0,0.0,-0.0172717589856792,-0.0888888888888889
3800,2018/11/20,6083,s,-0.1904761904761904,-0.1766004415011037,0.9271523178807948,0.4819960306209243,5,1,4,0,1,-0.0109283832756829,s,-1.0,-0.9271523178807948,0.9271523178807948,0.4819960306209243,5.0,1.0,4.0,0.0,1.0,-0.0109283832756829,-0.750551876379691
3801,2018/12/12,6083,l,0.24,0.303030303030303,1.2626262626262623,1.478908188585608,0,60,0,1,1,0.009475118710877,l,-0.48,-0.606060606060606,1.2626262626262623,1.478908188585608,0.0,60.0,0.0,1.0,1.0,0.009475118710877,-0.909090909090909
3802,2018/12/25,6083,s,1.1333333333333333,1.9691119691119687,1.7374517374517375,4.86752061765222,1,0,0,0,0,-0.0188811074377459,s,-1.0,-1.7374517374517375,1.7374517374517375,4.86752061765222,1.0,0.0,0.0,0.0,0.0,-0.0188811074377459,-3.7065637065637063
3803,2018/12/26,6083,l,1.2758620689655171,1.2627986348122868,0.9897610921501706,1.216697535261433,0,60,0,1,1,0.0076661094794562,l,2.862068965517241,2.832764505119454,0.9897610921501706,1.216697535261433,0.0,60.0,0.0,1.0,1.0,0.0076661094794562,1.569965870307167
3804,2018/12/27,6083,l,-0.16,-0.1311475409836065,0.819672131147541,1.3469251336898396,2,58,1,0,0,0.0196165376420416,l,-0.16,-0.1311475409836065,0.819672131147541,1.3469251336898396,2.0,58.0,1.0,0.0,0.0,0.0196165376420416,0.0
3805,2019/01/04,6083,s,-0.1666666666666666,-0.1572327044025157,0.9433962264150944,1.75537761029989,0,5,0,0,1,-0.0179687300928264,s,-1.0,-0.9433962264150944,0.9433962264150944,1.75537761029989,0.0,5.0,0.0,0.0,1.0,-0.0179687300928264,-0.7861635220125787
3806,2019/03/06,6083,l,2.7,2.8621908127208484,1.060070671378092,9.732334047109209,1,11,0,0,0,-0.0030953297112989,l,-1.0,-1.060070671378092,1.060070671378092,9.732334047109209,1.0,11.0,0.0,0.0,0.0,-0.0030953297112989,-3.9222614840989403
3807,2019/03/08,6083,s,1.8636363636363635,1.1248285322359397,0.6035665294924554,1.6316316316316315,0,57,0,0,0,-0.0054455604746642,s,1.818181818181818,1.0973936899862824,0.6035665294924554,1.6316316316316315,0.0,57.0,0.0,0.0,0.0,-0.0054455604746642,-0.02743484224965731
3808,2019/04/01,6083,l,-0.3481481481481481,-1.3544668587896254,3.890489913544669,5.9820405043943445,5,0,2,0,1,0.0139150544119747,l,-0.1185185185185185,-0.4610951008645533,3.890489913544669,5.9820405043943445,5.0,0.0,2.0,0.0,1.0,0.0139150544119747,0.8933717579250721
3809,2019/04/05,6083,l,0.28125,0.5194805194805194,1.847041847041847,3.1025842937934,4,0,3,0,1,0.0008372861617632,l,-0.609375,-1.1255411255411256,1.847041847041847,3.1025842937934,4.0,0.0,3.0,0.0,1.0,0.0008372861617632,-1.645021645021645
